EPOCH                                      MMS4_R_GEO_X                MMS4_R_GEO_Y                MMS4_R_GEO_Z                MMS4_V_GEO_X                MMS4_V_GEO_Y                MMS4_V_GEO_Z
dd-mm-yyyy hh:mm:ss.mil.mic                          km                          km                          km                        km/s                        km/s                        km/s
09-12-2016 09:00:02.830.000                     35848.6                     58933.7                    -27909.7                   -0.515324                    0.982314                    0.123916
09-12-2016 09:00:02.860.000                     35848.8                     58933.6                    -27909.7                   -0.515323                    0.982314                    0.123917
09-12-2016 09:00:02.890.000                     35848.9                     58933.6                    -27909.7                   -0.515321                    0.982313                    0.123918
09-12-2016 09:00:02.920.000                     35849.0                     58933.5                    -27909.7                   -0.515320                    0.982312                    0.123918
09-12-2016 09:00:02.950.000                     35849.1                     58933.5                    -27909.7                   -0.515319                    0.982312                    0.123919
09-12-2016 09:00:02.980.000                     35849.2                     58933.4                    -27909.7                   -0.515318                    0.982311                    0.123920
09-12-2016 09:00:03.010.000                     35849.3                     58933.4                    -27909.7                   -0.515317                    0.982311                    0.123921
09-12-2016 09:00:03.040.000                     35849.4                     58933.3                    -27909.7                   -0.515316                    0.982310                    0.123922
09-12-2016 09:00:03.070.000                     35849.6                     58933.3                    -27909.7                   -0.515315                    0.982309                    0.123923
09-12-2016 09:00:03.100.000                     35849.7                     58933.2                    -27909.7                   -0.515314                    0.982309                    0.123923
09-12-2016 09:00:03.130.000                     35849.8                     58933.2                    -27909.7                   -0.515313                    0.982308                    0.123924
09-12-2016 09:00:03.160.000                     35849.9                     58933.2                    -27909.7                   -0.515311                    0.982308                    0.123925
09-12-2016 09:00:03.190.000                     35850.0                     58933.1                    -27909.7                   -0.515310                    0.982307                    0.123926
09-12-2016 09:00:03.220.000                     35850.1                     58933.1                    -27909.6                   -0.515309                    0.982307                    0.123927
09-12-2016 09:00:03.250.000                     35850.2                     58933.0                    -27909.6                   -0.515308                    0.982306                    0.123927
09-12-2016 09:00:03.280.000                     35850.3                     58933.0                    -27909.6                   -0.515307                    0.982305                    0.123928
